Hostname,IP,Set,Stripe
tjscssd1302,172.16.75.14,4,4
tjscssd1002,172.16.75.32,4,4
tjscssb1505,172.16.76.5,4,4
tjscssb1103,172.16.76.25,4,4
tjscssc1204,172.16.76.46,4,4
tjscssc1105,172.16.77.17,4,4
tjscssc0805,172.16.77.35,4,4
tjscssb0503,172.16.78.7,4,4
tjscssc0305,172.16.78.29,4,4
tjscssb0302,172.16.79.2,4,4
tjscssd0602,172.16.79.20,4,4
tjscssd0303,172.16.79.39,4,4
hzscssa1802,172.20.75.14,4,4
hzscssa2106,172.20.75.34,4,4
hzscssb0802,172.20.76.14,4,4
hzscssb1302,172.20.76.34,4,4
hzscssb1802,172.20.75.46,4,4
hzscssb2106,172.20.79.18,4,4
hzscssc0502,172.20.77.14,4,4
hzscssc0804,172.20.77.34,4,4
hzscssc1106,172.20.78.6,4,4
hzscssc1502,172.20.78.26,4,4
hzscssc1804,172.20.78.46,4,4
hzscssc2106,172.20.79.42,4,4
njscss4k0303,172.18.75.15,4,5
njscss4k0605,172.18.75.35,4,5
njscss4l0601,172.18.76.7,4,5
njscss4l0903,172.18.76.27,4,5
njscss4l1205,172.18.76.47,4,5
njscss4m1603,172.18.77.19,4,5
njscss4n0603,172.18.78.15,4,5
njscss4n1103,172.18.78.35,4,5
njscss4p0401,172.18.79.7,4,5
njscss4p0703,172.18.79.27,4,5
njscss4p1005,172.18.79.47,4,5
njscss4p1401,172.18.77.43,4,5
tjscssd1303,172.16.75.15,4,5
tjscssd1003,172.16.75.33,4,5
tjscssb1506,172.16.76.6,4,5
tjscssb1104,172.16.76.26,4,5
tjscssc1205,172.16.76.47,4,5
tjscssc1106,172.16.77.18,4,5
tjscssc0806,172.16.77.36,4,5
tjscssb0504,172.16.78.8,4,5
tjscssc0306,172.16.78.30,4,5
tjscssb0303,172.16.79.3,4,5
tjscssd0603,172.16.79.21,4,5
tjscssd0304,172.16.79.40,4,5
hzscssa1803,172.20.75.15,4,5
hzscssa2201,172.20.75.35,4,5
hzscssb0803,172.20.76.15,4,5
hzscssb1303,172.20.76.35,4,5
hzscssb1803,172.20.75.47,4,5
hzscssb2201,172.20.79.19,4,5
hzscssc0503,172.20.77.15,4,5
hzscssc0805,172.20.77.35,4,5
hzscssc1201,172.20.78.7,4,5
hzscssc1503,172.20.78.27,4,5
hzscssc1805,172.20.78.47,4,5
hzscssc2201,172.20.79.43,4,5
njscss4k0304,172.18.75.16,5,1
njscss4k0401,172.18.75.19,5,1
njscss4l0301,172.18.75.37,5,1
njscss4l0304,172.18.75.40,5,1
njscss4l0604,172.18.76.10,5,1
njscss4l0904,172.18.76.28,5,1
njscss4l1001,172.18.76.31,5,1
njscss4l1301,172.18.77.1,5,1
njscss4l1304,172.18.77.4,5,1
njscss4m1702,172.18.77.22,5,1
